04:43:35:186 [ALWAYS]	GUDE Logging Started
04:43:35:189 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
04:43:35:189 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
04:43:35:190 [ERROR]	Initialize resume cache pointer failure
04:43:35:190 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
04:43:35:191 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
04:44:11:554 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
04:44:11:555 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
04:44:11:555 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
04:44:11:555 [ERROR]	Initialize resume cache pointer failure
04:44:11:555 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
04:44:11:555 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
